iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.6921748531	0.8762798602	0.734789311	01	0.6911634428	0.8931313965	0.77222	0.6892	0.6900787921	0.9031569939	03	0.688877423	0.6890492441	0.903156994	0.6879351438	04	0.6881366346	0.894835	0.6868868212	0.85	0.6871203065	6	0.6858663442	0.8924226226	0.686152547	0.6848081107	0.9005336152	07	0.685098	0.6839075127	0.8992529321	0.778	0.689	0.6828441614	0.8992529321	0.779689	010	0.6818386582	0.8992529321	0.7796875111	0.680740223	0.8992529321	0.7796875
12	0.6798210335	0.8998932737	0.78125
13	0.6787770751	0.8998932737	0.78125
14	0.6777672879	0.8998932737	0.78125
15	0.6767540806	0.8992529321	0.7796871616	0.6757669338	0.8992529321	0.779617	017	0.6747467509	0.8992529321	0.7718	0.618	0.6737492098	0.897972249	0.719	0.6719	0.6727452119	0.897972249	0.20	0.67120	0.6718217985	0.897972249	021	0.670621	0.6708181532	0.897972249	22	0.6695922	0.6698760913	0.89861259023	0.66867623	0.668875726	0.89797224924	0.66772024	0.6679260237	0.8979722425	0.666724525	0.666892958	0.8979722426	0.665727826	0.6659152114	0.89797227	0.66466131027	0.6649127125	0.8979728	0.663751618328	0.664039163	0.8979729	0.663204776229	0.6630849303	0.897930	0.6622547724	30	0.6621308099	0.8979731	0.661292814131	0.6611438864	0.89797232	0.66046993032	0.6602926668	0.89797233	0.65949864733	0.659302865	0.8979722434	0.658583634	0.658377564	0.897972249	35	0.6576635	0.657420326	0.897972249	0.36	0.65636	0.6564324848	0.897972249	0.737	0.6537	0.6554434893	0.897972249	0.7738	0.638	0.6545096265	0.897972249	0.7739	0.639	0.6535344731	0.897972249	0.77640	0.40	0.6525647097	0.897972249	0.776541	041	0.6516129097	0.897972249	0.7765642	42	0.6507192623	0.897972249	0.7765624343	0.6497822943	0.897972249	0.7765624444	0.6488060316	0.897972249	0.7765624545	0.6478238492	0.897972249	0.7765646	46	0.6468200176	0.897972249	0.7765647	47	0.6459371369	0.897972249	0.7765648	48	0.6449882032	0.897972249	0.7765649	49	0.6441799877	0.897972249	0.7765650	50	0.6432512417	0.897972249	0.7765651	51	0.6422944736	0.897972249	0.7765652	52	0.6413739859	0.897972249	0.7765653	53	0.6404960889	0.897972249	0.7765654	54	0.6395127888	0.897972249	0.7765655	55	0.638560131	0.897972249	0.7765625656	0.6376865865	0.897972249	0.7765625757	0.6366967982	0.897972249	0.7765625858	0.6357711971	0.897972249	0.7765625959	0.63479286	0.897972249	0.7765625
60	0.6339706333	0.897972249	0.7765625
61	0.63304594	0.897972249	0.7765625
62	0.6321457374	0.897972249	0.7765625
63	0.6313010839	0.897972249	0.7765625
64	0.630442407	0.897972249	0.7765625
65	0.6295701561	0.897972249	0.7765625
66	0.6286904879	0.897972249	0.7765625
67	0.6277683094	0.897972249	0.7765625
68	0.6268788063	0.897972249	0.7765625
69	0.6260905801	0.897972249	0.7765625
70	0.6253136903	0.897972249	0.7765625
71	0.6243919999	0.897972249	0.7765625
72	0.6235121698	0.897972249	0.7765625
73	0.6226227512	0.897972249	0.7765625
74	0.6217003706	0.897972249	0.7765625
75	0.6207382084	0.897972249	0.7765625
76	0.6199097907	0.897972249	0.7765625
77	0.6190424523	0.897972249	0.7765625
78	0.6181929561	0.897972249	0.7765625
79	0.6174177323	0.897972249	0.7765625
80	0.6165790606	0.897972249	0.7765625
81	0.6156743497	0.897972249	0.7765625
82	0.6148543674	0.897972249	0.7765625
83	0.6139597931	0.897972249	0.7765625
84	0.6131866033	0.897972249	0.7765625
85	0.612311787	0.897972249	0.7765625
86	0.611487532	0.897972249	0.7765625
87	0.6107681683	0.897972249	0.7765625
88	0.6099239126	0.897972249	0.7765625
89	0.6090923997	0.897972249	0.7765625
90	0.6082229738	0.897972249	0.7765625
91	0.607417671	0.897972249	0.7765625
92	0.6065711242	0.897972249	0.7765625
93	0.6056942984	0.897972249	0.7765625
94	0.6049056723	0.897972249	0.7765625
95	0.6040426249	0.897972249	0.7765625
96	0.6033420973	0.897972249	0.7765625
97	0.6025425872	0.897972249	0.7765625
98	0.6017015023	0.897972249	0.7765625
99	0.6008159164	0.897972249	0.7765625
100	0.6000418514	0.897972249	0.7765625
101	0.5991932861	0.897972249	0.7765625
102	0.5983873206	0.897972249	0.7765625
103	0.5974907349	0.897972249	0.7765625
104	0.5967563629	0.897972249	0.7765625
105	0.595889943	0.897972249	0.7765625
106	0.5951236373	0.897972249	0.7765625
107	0.5944437734	0.897972249	0.7765625
108	0.5936407359	0.897972249	0.7765625
109	0.5928932078	0.897972249	0.7765625
110	0.5921097931	0.897972249	0.7765625
111	0.5913765648	0.897972249	0.7765625
112	0.5905187888	0.897972249	0.7765625
113	0.5897998584	0.897972249	0.7765625
114	0.5890188768	0.897972249	0.7765625
115	0.588183712	0.897972249	0.7765625
116	0.5873200768	0.897972249	0.7765625
117	0.5866104483	0.897972249	0.7765625
118	0.5858576026	0.897972249	0.7765625
119	0.5851878324	0.897972249	0.7765625
120	0.5843608732	0.897972249	0.7765625
121	0.5835729728	0.897972249	0.7765625
122	0.5828186415	0.897972249	0.7765625
123	0.5821444839	0.897972249	0.7765625
124	0.5814540845	0.897972249	0.7765625
125	0.5806938686	0.897972249	0.7765625
126	0.57988637	0.897972249	0.7765625
127	0.5791886486	0.897972249	0.7765625
128	0.5783653845	0.897972249	0.7765625
129	0.5775666789	0.897972249	0.7765625
130	0.5767174345	0.897972249	0.7765625
131	0.5762300242	0.897972249	0.7765625
132	0.5754068719	0.897972249	0.7765625
133	0.5746379705	0.897972249	0.7765625
134	0.5738226433	0.897972249	0.7765625
135	0.5730694569	0.897972249	0.7765625
136	0.572252533	0.897972249	0.7765625
137	0.5715621775	0.897972249	0.7765625
138	0.570765981	0.897972249	0.7765625
139	0.5700483022	0.897972249	0.7765625
140	0.5693433001	0.897972249	0.7765625
141	0.568583353	0.897972249	0.7765625
142	0.5677828585	0.897972249	0.7765625
143	0.5670322582	0.897972249	0.7765625
144	0.5663168796	0.897972249	0.7765625
145	0.5656008415	0.897972249	0.7765625
146	0.5649244406	0.897972249	0.7765625
147	0.5642129971	0.897972249	0.7765625
148	0.5635123194	0.897972249	0.7765625
149	0.5627805405	0.897972249	0.7765625
150	0.5620848924	0.897972249	0.7765625
151	0.5613150245	0.897972249	0.7765625
152	0.5606084098	0.897972249	0.7765625
153	0.5598463189	0.897972249	0.7765625
154	0.5591561699	0.897972249	0.7765625
155	0.5583877254	0.897972249	0.7765625
156	0.5576348607	0.897972249	0.7765625
157	0.5569037598	0.897972249	0.7765625
158	0.5561815202	0.897972249	0.7765625
159	0.5554666657	0.897972249	0.7765625
160	0.5547499482	0.897972249	0.7765625
161	0.5540235837	0.897972249	0.7765625
162	0.5533742757	0.897972249	0.7765625
163	0.5526384723	0.897972249	0.7765625
164	0.5519340627	0.897972249	0.7765625
165	0.551229866	0.897972249	0.7765625
166	0.5505559617	0.897972249	0.7765625
167	0.5498603651	0.897972249	0.7765625
168	0.5491716167	0.897972249	0.7765625
169	0.5484958558	0.897972249	0.7765625
170	0.5478816613	0.897972249	0.7765625
171	0.5471481496	0.897972249	0.7765625
172	0.5464593864	0.897972249	0.7765625
173	0.5457716056	0.897972249	0.7765625
174	0.5450408461	0.897972249	0.7765625
175	0.5443609431	0.897972249	0.7765625
176	0.5437418316	0.897972249	0.7765625
177	0.5430420275	0.897972249	0.7765625
178	0.5423165266	0.897972249	0.7765625
