iter	Passed	Remaining
0	524	523868
1	841	419802
2	1294	430204
3	1427	355393
4	1515	301622
5	1781	295069
6	1874	265899
7	1972	244612
8	2178	239876
9	2283	226100
10	2343	210681
11	2489	204991
12	2569	195059
13	2638	185855
14	2730	179328
15	3371	207329
16	3779	218539
17	3942	215074
18	5355	276493
19	5467	267900
20	5611	261622
21	6113	271754
22	6387	271336
23	6494	264115
24	7291	284366
25	7413	277707
26	7733	278709
27	7838	272095
28	7952	266262
29	8215	265631
30	8711	272299
31	10026	303292
32	10549	309132
33	10835	307860
34	10951	301947
35	11074	296551
36	11401	296739
37	11510	291409
38	11655	287199
39	12438	298529
40	13087	306129
41	13207	301245
42	13449	299335
43	13599	295489
44	13769	292226
45	14104	292505
46	14214	288226
47	14353	284673
48	14576	282911
49	14718	279659
50	14854	276415
51	15146	276129
52	15289	273192
53	15452	270706
54	15601	268054
55	15737	265281
56	15841	262082
57	16076	261112
58	16118	257078
59	16160	253184
60	16203	249433
61	16253	245892
62	16303	242479
63	16341	238995
64	16382	235655
65	16422	232407
66	16456	229156
67	16568	227090
68	16617	224210
69	16666	221426
70	16709	218630
71	16751	215910
72	16814	213526
73	16854	210911
74	16898	208411
75	17047	207261
76	17100	204987
77	17145	202668
78	17190	200405
79	17232	198172
80	17286	196127
81	17330	194017
82	17368	191891
83	17408	189833
84	17457	187919
85	17574	186783
86	17623	184945
87	17678	183208
88	17721	181397
89	17763	179608
90	17817	177974
91	17863	176309
92	17918	174756
93	18034	173820
94	18089	172324
95	18139	170817
96	18188	169321
97	18234	167832
98	18287	166431
99	18330	164974
100	18372	163535
101	18417	162142
102	18473	160884
103	18724	161319
104	18769	159991
105	18816	158696
106	18851	157329
107	18898	156090
108	18960	154990
109	19003	153754
110	19061	152666
111	19300	153024
112	19416	152410
113	19531	151798
114	19650	151226
115	20035	152685
116	20147	152054
117	20273	151534
118	20550	152141
119	20658	151497
120	20778	150948
121	22491	161861
122	23528	167759
123	23646	167051
124	23768	166376
125	23903	165804
126	24148	165993
127	24258	165263
128	24402	164766
129	24751	165643
130	24875	165011
131	25180	165583
132	25299	164922
133	25496	164777
134	25928	166134
135	26081	165695
136	26205	165076
137	26467	165325
138	26600	164769
139	26730	164199
140	27155	165436
141	27267	164755
142	27319	163728
143	27376	162736
144	27425	161713
145	27469	160679
146	27639	160381
147	27694	159430
148	27736	158412
149	27778	157408
150	27825	156448
151	27893	155618
152	27933	154639
153	27985	153737
154	28156	153496
155	28200	152572
156	28254	151712
157	28299	150812
158	28341	149907
159	28403	149117
160	28463	148327
161	28511	147483
162	28648	147106
163	28697	146285
164	28744	145464
165	28790	144645
166	28837	143844
167	28900	143126
