iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.6921195322	0.8995968488	0.7780898876
1	0.6911327585	0.9045882104	0.8033707865
2	0.6901033904	0.9030524066	0.7865168539
3	0.6891001882	0.8999807997	0.7823033708
4	0.6879696375	0.9022845049	0.7879213483
5	0.6870940887	0.9022845049	0.7879213483
6	0.6860772653	0.8999807997	0.7823033708
7	0.6850041543	0.9017085786	0.7865168539
8	0.6839559536	0.8999807997	0.7823033708
9	0.6829730381	0.8988289471	0.779494382
10	0.6819235552	0.8994048734	0.7808988764
11	0.681023911	0.8988289471	0.779494382
12	0.6800564405	0.8988289471	0.779494382
13	0.6789789655	0.8988289471	0.779494382
14	0.6779574149	0.8988289471	0.779494382
15	0.6768753645	0.8988289471	0.779494382
16	0.6760205462	0.8988289471	0.779494382
17	0.6750517278	0.8988289471	0.779494382
18	0.6739923203	0.8988289471	0.779494382
19	0.6729907528	0.8988289471	0.779494382
20	0.6720944638	0.8988289471	0.779494382
21	0.6711660774	0.8988289471	0.779494382
22	0.6701734643	0.8988289471	0.779494382
23	0.6691684127	0.8988289471	0.779494382
24	0.668141085	0.8988289471	0.779494382
25	0.6671658805	0.8988289471	0.779494382
26	0.6663213625	0.8988289471	0.779494382
27	0.6653712964	0.8988289471	0.779494382
28	0.6644318377	0.8988289471	0.779494382
29	0.6634252696	0.8988289471	0.779494382
30	0.6624080392	0.8988289471	0.779494382
31	0.6614438287	0.8988289471	0.779494382
32	0.6605239529	0.8988289471	0.779494382
33	0.6595508496	0.8988289471	0.779494382
34	0.6587399348	0.8988289471	0.779494382
35	0.657926601	0.8988289471	0.779494382
36	0.6569619997	0.8988289471	0.779494382
37	0.6560138259	0.8988289471	0.779494382
38	0.6550115903	0.8988289471	0.779494382
39	0.6541639385	0.8988289471	0.779494382
40	0.653151158	0.8988289471	0.779494382
41	0.652141268	0.8988289471	0.779494382
42	0.65116876	0.8988289471	0.779494382
43	0.650234086	0.8988289471	0.779494382
44	0.6492945819	0.8988289471	0.779494382
45	0.6483412967	0.8988289471	0.779494382
46	0.6473422783	0.8988289471	0.779494382
47	0.6464559002	0.8988289471	0.779494382
48	0.6454740595	0.8988289471	0.779494382
49	0.6445202831	0.8988289471	0.779494382
50	0.6436429689	0.8988289471	0.779494382
51	0.6426820944	0.8988289471	0.779494382
52	0.6416936734	0.8988289471	0.779494382
53	0.6407120445	0.8988289471	0.779494382
54	0.6398904104	0.8988289471	0.779494382
55	0.6389039978	0.8988289471	0.779494382
56	0.6379975072	0.8988289471	0.779494382
57	0.6371554132	0.8988289471	0.779494382
58	0.6363064399	0.8988289471	0.779494382
59	0.6353187501	0.8988289471	0.779494382
60	0.6345256297	0.8988289471	0.779494382
61	0.6335369024	0.8988289471	0.779494382
62	0.6326504062	0.8988289471	0.779494382
63	0.6317298721	0.8988289471	0.779494382
64	0.6309263119	0.8988289471	0.779494382
65	0.6299495147	0.8988289471	0.779494382
66	0.6290516679	0.8988289471	0.779494382
67	0.6281369657	0.8988289471	0.779494382
68	0.627166848	0.8988289471	0.779494382
69	0.6262738867	0.8988289471	0.779494382
70	0.6254071351	0.8988289471	0.779494382
71	0.6245383696	0.8988289471	0.779494382
72	0.6237593907	0.8988289471	0.779494382
73	0.622813324	0.8988289471	0.779494382
74	0.6219694422	0.8988289471	0.779494382
75	0.6211285836	0.8988289471	0.779494382
76	0.6202443281	0.8988289471	0.779494382
77	0.6193962586	0.8988289471	0.779494382
