iter	Passed	Remaining
0	21	54338
1	23	29594
2	25	21386
3	28	17764
4	29	14812
5	31	13253
6	33	11795
7	34	10713
8	35	9848
9	36	9158
10	37	8556
11	39	8087
12	40	7692
13	41	7362
14	42	7024
15	43	6704
16	45	6671
17	46	6468
18	48	6300
19	49	6136
20	50	5980
21	51	5842
22	53	5716
23	54	5596
24	55	5537
25	57	5423
26	58	5335
27	59	5248
28	60	5168
29	62	5109
30	64	5105
31	64	5010
32	65	4915
33	67	4861
34	71	5036
35	72	4978
36	74	4951
37	75	4897
38	76	4846
39	78	4801
40	79	4754
41	79	4678
42	80	4621
43	82	4630
44	83	4577
45	85	4541
46	86	4522
47	87	4488
48	88	4443
49	90	4418
50	92	4419
51	93	4410
52	94	4384
53	96	4355
54	97	4329
55	100	4387
56	102	4409
57	104	4391
58	105	4364
59	106	4343
60	108	4324
61	109	4300
62	111	4300
63	111	4258
64	113	4249
65	115	4249
66	116	4228
67	118	4235
68	119	4223
69	120	4189
70	122	4179
71	123	4161
72	125	4171
73	127	4164
74	130	4213
75	131	4205
76	132	4172
77	134	4169
78	135	4151
79	138	4184
80	139	4168
81	140	4152
82	141	4134
83	143	4122
84	144	4110
85	146	4100
86	147	4100
87	148	4066
88	149	4051
89	150	4038
90	152	4029
91	153	4016
92	155	4022
93	156	4009
94	158	4003
95	159	4001
96	160	3981
97	161	3956
98	162	3937
99	163	3926
100	164	3915
101	168	3964
102	169	3953
103	170	3932
104	171	3911
105	172	3888
106	176	3944
107	177	3936
108	178	3924
109	181	3940
110	182	3933
111	186	3984
112	192	4056
113	196	4120
114	197	4101
115	199	4092
116	200	4083
117	203	4100
118	207	4153
119	208	4142
120	210	4134
121	211	4123
122	212	4111
123	215	4123
124	216	4112
125	217	4102
126	219	4094
127	220	4087
128	221	4078
129	223	4068
130	225	4073
131	226	4063
132	229	4092
133	230	4078
134	232	4068
135	233	4058
136	236	4072
137	237	4063
138	238	4054
139	240	4045
140	241	4038
141	244	4066
142	246	4056
143	247	4051
144	249	4049
145	250	4040
146	251	4031
147	253	4028
148	254	4019
149	257	4032
150	258	4016
151	259	4008
152	260	3993
153	262	3993
154	264	4006
155	266	3998
156	267	3989
157	268	3980
158	269	3971
159	272	3986
160	273	3977
161	275	3969
162	276	3960
163	278	3967
164	281	3976
165	282	3969
166	283	3965
167	286	3981
168	288	3973
169	289	3962
170	290	3963
171	293	3966
172	294	3960
173	295	3953
174	296	3938
175	298	3946
176	300	3948
177	302	3943
178	303	3935
179	304	3927
180	306	3920
181	306	3905
182	309	3918
183	310	3910
184	312	3905
185	313	3896
186	317	3929
187	318	3922
188	320	3916
189	323	3928
190	324	3917
191	325	3909
192	326	3901
193	328	3904
194	330	3910
195	332	3903
196	333	3897
197	334	3890
198	337	3905
199	338	3895
200	339	3882
201	340	3879
202	342	3873
203	345	3882
204	346	3883
205	348	3876
206	349	3870
207	351	3874
208	354	3882
209	354	3868
210	355	3857
211	356	3844
212	357	3838
213	359	3841
214	360	3835
215	362	3828
216	367	3864
217	368	3857
218	369	3846
219	370	3840
220	373	3850
221	374	3845
222	375	3838
223	377	3834
224	378	3829
225	379	3821
226	380	3812
227	382	3806
228	383	3801
229	384	3795
230	385	3790
231	387	3785
232	388	3780
233	390	3783
234	391	3777
235	393	3772
236	394	3762
237	395	3759
238	396	3753
239	398	3748
240	399	3742
241	400	3739
242	401	3728
243	402	3722
244	403	3717
245	405	3711
246	406	3707
247	409	3715
248	411	3720
249	413	3722
250	414	3710
251	416	3717
252	420	3736
253	422	3737
254	423	3726
255	424	3722
256	426	3722
257	427	3714
258	428	3705
259	429	3700
260	434	3726
261	435	3722
262	438	3729
263	439	3724
264	441	3719
265	442	3714
266	443	3708
267	446	3716
268	447	3711
269	448	3704
270	449	3698
271	451	3695
272	452	3688
273	453	3682
274	454	3679
275	456	3679
276	457	3674
277	459	3668
